No,Topik
1,"['rumah_sakit', 'kota_yogyakarta', 'bantul', 'ppkm_darurat', 'pasien_sembuh', 'isolasi_mandiri', 'vaksinasi', 'positif_covid', 'kabupaten_bantul', 'tangan_covid']"
2,"['pasien_sembuh', 'kota_yogyakarta', 'ppkm_darurat', 'korban', 'kabupaten_bantul', 'sembuh', 'positif_covid', 'pasien_tinggal', 'bantul', 'bantu_sosial']"
3,"['rumah_sakit', 'korban', 'kota_yogyakarta', 'ppkm_darurat', 'temu_tewas', 'vaksinasi', 'tinggal_dunia', 'temu', 'jalan_isolasi', 'protokol_sehat']"
4,"['kota_yogyakarta', 'korban', 'rumah_sakit', 'temu_tewas', 'isolasi_mandiri', 'temu', 'tenaga_sehat', 'kota', 'jalan_isolasi', 'pasien_sembuh']"
5,"['vaksinasi', 'ppkm_darurat', 'varian_delta', 'vaksin', 'pasien_sembuh', 'anak', 'anak_anak', 'bantu_sosial', 'kota_yogyakarta', 'hewan_kurban']"
6,"['kurban', 'hewan_kurban', 'sapi', 'kota_yogyakarta', 'hewan', 'varian_delta', 'sembelih', 'sembelih_hewan', 'potong_hewan', 'rumah_sakit']"
7,"['kota_yogyakarta', 'rumah_sakit', 'hewan_kurban', 'kurban', 'varian_delta', 'kota', 'pasien_sembuh', 'positif_covid', 'sapi', 'hewan']"
8,"['varian_delta', 'wisata', 'laku_wisata', 'warga_dampak', 'objek_wisata', 'polda_diy', 'vaksinasi', 'anak_anak', 'bantu_sosial', 'salur_bantu']"
9,"['ppkm_darurat', 'vaksinasi', 'varian_delta', 'vaksin', 'pemkab_sleman', 'papar_covid', 'polda_diy', 'warga_dampak', 'jalan_isolasi', 'salur_bantu']"
10,"['kota_yogyakarta', 'rumah_sakit', 'gunung_rapi', 'pemkab_sleman', 'laku_wisata', 'isolasi_mandiri', 'jalan_isolasi', 'bantul', 'wisata', 'pasien_sembuh']"
11,"['gunung_rapi', 'gugur_lava', 'barat_daya', 'jarak_luncur', 'ppkm_darurat', 'rumah_sakit', 'lava', 'varian_delta', 'warga_dampak', 'rapi']"
12,"['protokol_sehat', 'varian_delta', 'polda_diy', 'rumah_sakit', 'objek_wisata', 'gunung_rapi', 'laku_wisata', 'anak', 'wisata', 'gugur_lava']"
13,"['polda_diy', 'pemkab_sleman', 'jalan_isolasi', 'kabupaten_bantul', 'tenaga_sehat', 'bantu_sosial', 'bantul', 'kepala_dinas', 'bupati_sleman', 'tinggal_dunia']"
14,"['pasien_tinggal', 'anak_anak', 'anak', 'protokol_sehat', 'ppkm_darurat', 'bantul', 'kabupaten_bantul', 'tinggal_dunia', 'negara', 'dagang_pasar']"
15,"['polda_diy', 'wisata', 'objek_wisata', 'vaksinasi', 'ppkm_darurat', 'warga_dampak', 'salur_bantu', 'laku_wisata', 'tinggal_dunia', 'slamet_santoso']"
16,"['anak', 'anak_anak', 'polda_diy', 'jalan_isolasi', 'pasien_tinggal', 'objek_wisata', 'wisata', 'bantul', 'protokol_sehat', 'tinggal_dunia']"
17,"['dagang_pasar', 'pasar', 'tenaga_sehat', 'dagang', 'tangan_covid', 'kabupaten_kulonprogo', 'kulonprogo', 'laku_usaha', 'varian_delta', 'pemda_diy']"
