,Topic,Word,P
0,0,partai_golkar,0.032254603
1,0,sop,0.021913076
2,0,dr,0.021143172
3,0,tular_covid,0.020798588
4,0,gandung,0.016563062
5,0,suasana,0.015245711
6,0,partai,0.013957089
7,0,golkar,0.011215225
8,0,aji,0.010889565
9,0,dpr,0.010711668
10,1,obat_keras,0.012361301
11,1,juta_butir,0.0094222985
12,1,barang_bukti,0.0060847015
13,1,pil,0.005188497
14,1,butir,0.0048570866
15,1,mesin,0.0038690718
16,1,pil_koplo,0.0033798702
17,1,koplo,0.0033797184
18,1,obat,0.0015511065
19,1,baku,0.0015270684
20,2,labuh,0.01654424
21,2,inovasi,0.005042407
22,2,sumatera,0.00091897824
23,2,ikan,0.00089778344
24,2,lolos,0.00088842027
25,2,main,0.00088160846
26,2,simpan,0.0008632688
27,2,asn,0.0008631951
28,2,panen,0.0008619611
29,2,asli,0.0008595204
30,3,libur,0.024591362
31,3,pantai,0.022822259
32,3,jasad,0.020094568
33,3,unjung,0.018055115
34,3,ayah,0.016440427
35,3,kartu,0.01582544
36,3,penjara,0.01498971
37,3,tega,0.014874641
38,3,buat,0.014461123
39,3,aniaya,0.01399454
40,4,faktor,0.0008950264
41,4,seni,0.0008856266
42,4,aparat,0.00086591276
43,4,gandung,0.0008641863
44,4,ri,0.00086042285
45,4,isi,0.0008589638
46,4,anggap,0.0008588976
47,4,hapus,0.0008586286
48,4,tunjuk,0.0008572613
49,4,studi,0.0008567507
50,5,jogja,0.021391548
51,5,korban,0.016218033
52,5,rumah_sakit,0.015459244
53,5,makan,0.010699467
54,5,keluarga,0.010307421
55,5,kota,0.01024709
56,5,kunjung,0.009880139
57,5,sepeda_motor,0.009396109
58,5,wisata,0.008313585
59,5,bangun,0.007904585
60,6,anak,0.018755926
61,6,nama,0.01607652
62,6,orang_tua,0.015776534
63,6,laku,0.014464708
64,6,rabu,0.011275981
65,6,bantul,0.011070951
66,6,alir,0.010190245
67,6,kabupaten_bantul,0.00992321
68,6,protokol_sehat,0.009807594
69,6,pandemi_covid,0.009803738
70,7,sungai,0.028484652
71,7,kebumen,0.023001052
72,7,seksual,0.018177455
73,7,laki_laki,0.017684923
74,7,kalurahan,0.017200151
75,7,anak_anak,0.016667353
76,7,acara,0.013089359
77,7,laki,0.011783194
78,7,sosial,0.009606744
79,7,nekat,0.009462744
80,8,capai_persen,0.022435954
81,8,vaksinasi,0.020169351
82,8,produk,0.019782182
83,8,kota_yogyakarta,0.017288085
84,8,pemkab_sleman,0.0158665
85,8,persen,0.013627861
86,8,olahraga,0.0123761585
87,8,faktor,0.012277987
88,8,main,0.011917294
89,8,lintas,0.0115903
90,9,api,0.029726278
91,9,bakar,0.02397381
92,9,kuliner,0.023468351
93,9,lari,0.022564247
94,9,madam,0.018463215
95,9,teriak,0.017991057
96,9,hukum,0.014991681
97,9,coba,0.0132502075
98,9,adil,0.010958789
99,9,jatuh,0.010674498
100,10,mahasiswa,0.01573259
101,10,nilai,0.013128665
102,10,nikah,0.012885687
103,10,kabupaten_kulonprogo,0.0105988635
104,10,celaka,0.010365331
105,10,layan,0.009638783
106,10,didik,0.009528097
107,10,kulonprogo,0.009441538
108,10,uny,0.009434209
109,10,desa,0.009204053
